_fivetran_id,customer_id,date,_fivetran_synced,active_view_impressions,active_view_measurability,active_view_measurable_cost_micros,active_view_measurable_impressions,active_view_viewability,ad_group_base_ad_group,ad_group_criterion_criterion_id,ad_group_id,ad_network_type,campaign_base_campaign,campaign_id,clicks,conversions,conversions_value,cost_micros,device,impressions,interaction_event_types,interactions,view_through_conversions
WHHodUavHRH/1UxKGWLBdCZNsmU=,2121450128,2021-03-15,2021-06-29 17:11:46,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,8,0,0,19430000,MOBILE,52,[CLICK],8,0
QytuZ7V47EKeeaajQEmN0QtAkEA=,2121450128,2021-03-19,2021-06-29 17:11:47,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,12,0,0,18850000,MOBILE,57,[CLICK],12,0
6Xs8r/CkYBdYVbKv/ab9EL0KxWo=,2121450128,2021-01-22,2021-06-29 17:09:15,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,11,0,0,8940000,MOBILE,64,[CLICK],11,0
2eGe0jJlsJn2AjDb7EYkgkXwgjM=,2121450128,2021-01-18,2021-06-29 17:09:12,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,7,0,0,8310000,MOBILE,40,[CLICK],7,0
j8MeTNYEhtpLPiL+1YpkWMaVlXY=,2121450128,2021-04-23,2021-06-29 17:12:50,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,7,0,0,10570000,MOBILE,40,[CLICK],7,0
5GWY4h+VBEDr+R92b1+OEgaAUFE=,2121450128,2021-01-24,2021-06-29 17:09:17,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,8,0,0,11830000,MOBILE,51,[CLICK],8,0
BAMsENLY0phbMXC2v3GepeaEMyo=,2121450128,2021-03-13,2021-06-29 17:11:45,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,8,0,0,8470000,MOBILE,49,[CLICK],8,0
q1McFIagrX/zv64Gz0sNzmmd81k=,2121450128,2021-02-04,2021-06-29 17:10:13,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,7,0,0,7810000,MOBILE,44,[CLICK],7,0
JeJO2pLe7yOpdv/W7DrHtWqYXhY=,2121450128,2021-04-07,2021-06-29 17:12:50,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,6,0,0,14650000,MOBILE,51,[CLICK],6,0
Epbw8npz8fQRw/iR6551PsE0b7c=,2121450128,2021-03-31,2021-06-29 17:12:50,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,13,1,0,16370000,MOBILE,75,[CLICK],13,0
Afkgzxg9m7Rnj5YwKuLcZ9NSq2U=,2121450128,2021-04-14,2021-06-29 17:12:50,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,8,0,0,20580000,MOBILE,45,[CLICK],8,0
Z1BPyt7F0wFDZ2AORrFGDXIOqko=,2121450128,2021-01-12,2021-06-29 17:09:09,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,7,0,0,5250000,MOBILE,49,[CLICK],7,0
7jPhtLWVvWEMDnh0xvSygMgrANg=,2121450128,2021-05-28,2021-06-29 17:15:58,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,6,0,0,17380000,MOBILE,37,[CLICK],6,0
Wj+eROGcyJi5vUUOI9YZK0Y397Y=,2121450128,2021-05-17,2021-06-29 17:14:34,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,6,0,0,21460000,MOBILE,38,[CLICK],6,0
viBL01bmHWQWs9R2t/uVMdZJCEA=,2121450128,2021-01-13,2021-06-29 17:09:09,0,0,0,0,0,customers/2121450128/adGroups/23289504013,59284563270,23289504013,SEARCH,customers/2121450128/campaigns/344106493,344106493,15,0,0,14090000,MOBILE,59,[CLICK],15,0
